Ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_5,EMA_10,SMA_20,SMA_200,RSI,MACD,Box,Trend,Break_20,Stage
FDX,2021-01-08,246.52,247.29,242.7,245.74,1617514.0,0.0,0.0,250.47,256.45,269.41,200.16,23.82,-2.93,IN,➘,,1
BYND,2021-01-08,121.2,121.49,117.09,118.1,1672964.0,0.0,0.0,121.24,124.87,132.22,133.3,30.87,-1.4,IN,➘,,1
UPS,2021-01-08,159.11,159.85,157.77,157.79,1119813.0,0.0,0.0,160.8,163.67,167.82,136.8,33.95,-1.6,IN,➘,,1
MMM,2021-01-08,169.17,169.54,165.11,165.74,1730053.0,0.0,0.0,170.01,171.65,173.66,158.17,34.74,-1.02,IN,➘,,1
KO,2021-01-08,50.03,50.28,49.84,50.17,8374496.0,0.0,0.0,51.08,51.95,52.94,47.95,34.98,-0.49,IN,➘,,1
AMC,2021-01-08,2.09,2.211,2.07,2.165,19827820.0,0.0,0.0,2.1,2.22,2.6,4.14,35.07,-0.03,IN,➘,,1
ZM,2021-01-08,345.2,349.81,341.2,343.98,1576819.0,0.0,0.0,347.92,356.31,376.33,313.39,35.35,-1.71,IN,➘,,1
VZ,2021-01-08,58.23,58.36,57.57,57.72,8542149.0,0.0,0.0,58.15,58.3,58.72,56.6,39.65,-0.06,IN,➘,,1
FB,2021-01-08,268.31,268.95,263.22,264.83,6049136.0,0.0,0.0,267.44,269.29,271.9,245.96,42.17,-0.79,IN,➘,,1
CRM,2021-01-08,220.0,222.32,219.22,221.37,2456744.0,0.0,0.0,220.08,221.36,223.2,209.4,42.49,0.3,IN,➘,,1
BABA,2021-01-08,227.88,235.7,226.68,235.65,12996370.0,0.0,0.0,232.53,235.56,245.47,248.39,42.75,-0.36,IN,➘,,1
PEP,2021-01-08,142.47,143.45,141.66,142.85,946517.0,0.0,0.0,143.62,144.41,145.11,134.94,43.96,-0.58,IN,➘,,1
PBF,2021-01-08,7.08,7.14,6.5,6.65,3093304.0,0.0,0.0,6.92,6.98,7.11,8.21,44.46,-0.04,IN,➘,,1
HTZ,2021-01-07,1.4,1.43,1.36,1.4,1292089.0,0.0,0.0,1.38,1.42,1.54,2.11,45.32,-0.04,IN,➘,,1
KHC,2021-01-08,33.51,33.58,33.22,33.55,1382605.0,0.0,0.0,33.85,34.09,34.4,31.26,45.69,-0.24,IN,➘,,1
PFE,2021-01-08,37.16,37.53,37.02,37.08,9678315.0,0.0,0.0,37.02,37.15,37.78,34.73,45.72,-0.13,IN,➘,,1
AMZN,2021-01-08,3180.0,3182.29,3142.48,3166.75,1275822.0,0.0,0.0,3180.52,3196.33,3200.53,2909.4,47.07,-9.52,IN,➘,,1
AAL,2021-01-08,15.43,15.52,15.16,15.27,21513260.0,0.0,0.0,15.43,15.6,16.13,12.92,47.17,-0.22,IN,➘,,1
BA,2021-01-08,213.61,214.1,210.39,211.44,5638930.0,0.0,0.0,211.74,213.41,218.86,172.94,47.23,-2.26,IN,➘,,1
TWTR,2021-01-08,52.5,52.69,51.03,51.4,4792570.0,0.0,0.0,52.71,53.17,53.63,38.89,47.43,-0.59,IN,➘,,1
ADBE,2021-01-08,480.0,484.32,477.21,482.32,513585.0,0.0,0.0,481.71,485.82,490.27,438.48,47.52,-3.01,IN,➘,,1
NFLX,2021-01-08,511.31,513.24,504.51,509.8,873655.0,0.0,0.0,512.75,516.35,520.08,475.71,48.02,-2.93,IN,➘,,1
PAYX,2021-01-08,91.47,92.5,91.47,92.17,244613.0,0.0,0.0,91.71,92.21,93.27,77.03,48.98,-0.54,IN,➘,,1
UAL,2021-01-08,43.58,44.0,43.21,43.81,3311994.0,0.0,0.0,43.55,43.72,44.74,35.19,49.44,-0.32,IN,➘,,1
NVDA,2021-01-08,534.5,536.84,523.56,528.15,2918852.0,0.0,0.0,525.69,525.09,525.7,440.36,50.45,0.52,IN,➙,,3
U,2021-01-08,141.0,150.88,140.98,147.63,1347966.0,0.0,0.0,145.14,148.2,153.06,,50.63,-3.43,IN,➘,,3
WYNN,2021-01-08,109.9,110.0,108.29,109.09,718960.0,0.0,0.0,110.07,110.94,112.45,84.16,50.63,-1.46,IN,➘,,3
MSFT,2021-01-08,218.68,220.58,217.93,218.86,6508076.0,0.0,0.0,218.07,218.76,218.9,200.99,51.49,-0.68,IN,➘,,3
MFA,2021-01-08,3.83,3.82,3.75,3.763,1230089.0,0.0,0.0,3.79,3.8,3.81,2.6,51.7,-0.03,IN,➘,➘,4
SPCE,2021-01-08,25.66,25.86,24.87,25.61,4232873.0,0.0,0.0,24.8,24.79,25.55,19.64,51.72,-0.14,IN,➙,➚,2
IRM,2021-01-08,28.77,29.02,28.58,28.82,608817.0,0.0,0.0,28.83,28.97,29.27,26.19,51.91,-0.2,IN,➘,,3
WIX,2021-01-08,255.2,262.94,255.2,262.0,193094.0,0.0,0.0,256.15,256.9,261.87,236.89,52.16,-0.79,IN,➘,➚,2
WMT,2021-01-08,146.88,147.0,145.93,146.53,1939887.0,0.0,0.0,146.21,145.84,145.48,133.31,52.41,0.23,IN,➚,,3
NKLA,2021-01-08,18.8,18.84,17.9,18.31,8289829.0,0.0,0.0,17.17,16.78,16.56,29.82,52.42,0.45,OUT,➚,,2
GPRO,2021-01-08,8.68,8.7,8.23,8.37,1493721.0,0.0,0.0,8.45,8.45,8.56,5.27,52.77,-0.07,IN,➙,➘,4
XPEV,2021-01-08,47.92,47.94,44.47,45.89,11232693.0,0.0,0.0,44.06,43.77,44.34,,52.88,-0.11,OUT,➙,,2
DAL,2021-01-08,40.41,40.69,40.08,40.42,3008661.0,0.0,0.0,40.15,40.13,40.45,30.47,53.22,-0.2,IN,➙,,3
MCD,2021-01-08,212.9,215.05,212.32,215.02,600733.0,0.0,0.0,212.83,212.51,212.26,199.8,55.15,0.27,IN,➚,,3
UBER,2021-01-08,54.4,54.79,53.29,53.6,18232709.0,0.0,0.0,53.68,53.16,52.46,36.61,55.33,-0.08,IN,➚,,3
F,2021-01-08,9.1,9.14,8.96,9.05,17970345.0,0.0,0.0,8.92,8.89,8.92,6.91,55.52,-0.01,IN,➙,,3
GOOGL,2021-01-08,1777.16,1790.07,1762.81,1775.04,482337.0,0.0,0.0,1756.93,1751.46,1747.8,1517.39,55.74,0.31,IN,➚,,3
BUD,2021-01-08,70.68,70.86,70.21,70.6,297564.0,0.0,0.0,70.85,70.71,70.56,55.23,55.95,-0.27,IN,➚,,3
SHOP,2021-01-08,1172.0,1194.89,1151.54,1173.26,514423.0,0.0,0.0,1145.17,1144.34,1145.47,909.42,56.01,-7.9,IN,➙,,3
V,2021-01-08,214.17,216.12,213.72,214.34,1480244.0,0.0,0.0,214.33,213.8,211.31,195.19,56.08,0.06,IN,➚,,3
AAPL,2021-01-08,132.43,132.63,130.26,131.18,36675457.0,0.0,0.0,130.57,130.56,129.43,102.1,56.38,-0.54,IN,➚,,3
WDC,2021-01-08,55.39,55.38,52.57,52.85,2371668.0,0.0,0.0,53.17,52.54,51.92,42.32,56.45,-0.08,IN,➚,,3
SO,2021-01-08,61.07,61.6,60.99,61.58,492426.0,0.0,0.0,60.97,60.68,60.36,55.61,56.8,0.13,IN,➚,,3
AMD,2021-01-08,95.98,96.4,93.57,94.41,15727058.0,0.0,0.0,93.34,92.93,93.29,71.34,57.15,-0.24,IN,➙,,3
AGNC,2021-01-08,15.48,15.5,15.39,15.46,1277862.0,0.0,0.0,15.43,15.43,15.39,13.2,57.2,-0.04,IN,➙,,3
AXP,2021-01-08,122.07,122.19,119.52,121.07,806885.0,0.0,0.0,120.62,119.77,118.56,99.96,57.38,0.09,IN,➚,,3
LYFT,2021-01-08,48.74,48.94,47.44,48.58,1731457.0,0.0,0.0,48.54,48.63,48.91,32.88,57.44,-0.68,IN,➘,,3
SBUX,2021-01-08,103.86,104.75,103.42,104.4,1269051.0,0.0,0.0,104.09,104.0,103.82,83.15,57.63,-0.37,IN,➚,➚,2
LUV,2021-01-08,47.64,47.94,47.11,47.35,1534759.0,0.0,0.0,46.81,46.52,46.2,37.15,57.65,0.01,IN,➚,,3
ET,2021-01-08,6.73,6.73,6.58,6.68,5738065.0,0.0,0.0,6.55,6.49,6.58,6.25,57.67,-0.01,IN,➙,,3
EA,2021-01-08,140.86,141.71,139.93,141.41,397336.0,0.0,0.0,140.52,140.36,140.17,127.41,58.5,-0.64,IN,➚,,3
ORCL,2021-01-08,63.18,63.54,63.12,63.33,1524924.0,0.0,0.0,63.25,63.36,63.2,56.03,58.93,-0.32,IN,➙,,3
IBM,2021-01-08,128.57,129.32,127.35,127.79,1173672.0,0.0,0.0,127.47,126.53,125.31,119.45,59.2,0.19,IN,➚,,3
MA,2021-01-08,351.36,354.89,349.62,350.82,623118.0,0.0,0.0,349.44,347.22,340.4,312.29,59.33,0.84,IN,➚,,3
ATVI,2021-01-08,90.07,90.65,89.55,90.47,1261437.0,0.0,0.0,90.06,89.94,89.1,77.31,60.38,-0.4,IN,➚,,3
PINS,2021-01-08,72.2,73.57,71.56,72.71,3030268.0,0.0,0.0,70.21,69.6,69.9,37.82,60.48,-0.22,IN,➙,,3
TMUS,2021-01-08,133.26,134.48,132.23,134.22,794474.0,0.0,0.0,133.15,132.81,131.9,110.18,61.32,-0.21,IN,➚,,3
SNAP,2021-01-08,53.43,53.68,52.56,53.26,5455998.0,0.0,0.0,51.63,51.11,51.4,27.85,62.38,-0.27,IN,➙,,3
QCOM,2021-01-08,157.23,157.52,154.54,156.46,1745628.0,0.0,0.0,153.72,152.02,149.65,108.41,62.67,0.38,IN,➚,,3
PYPL,2021-01-08,237.43,241.73,236.07,240.27,2293645.0,0.0,0.0,235.21,233.95,231.73,177.88,62.71,-0.95,IN,➚,,3
CVX,2021-01-08,92.08,92.43,90.61,91.51,3242058.0,0.0,0.0,89.22,88.03,87.65,82.86,62.91,0.29,IN,➚,,3
INTC,2021-01-08,52.45,52.53,51.71,51.89,7706082.0,0.0,0.0,51.15,50.3,49.35,52.93,63.12,0.38,IN,➚,,3
